"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-20",,,,,,,,"39","30",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-21",,,,,,,,"34","27",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-22",,,,,,,,"42","28",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-23",,,,,,,,"41","27",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-24",,,,,,,,"41","25",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-25",,,,,,,,"40","29",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-26",,,,,,,,"46","32",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-27",,,,,,,,"40","30",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-28",,,,,,,,"41","26",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-02-29",,,,,,,,"35","25",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-01",,,,,,,,"33","23",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-02",,,,,,,,"33","20",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-03",,,,,,,,"28","19",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-04",,,,,,,,"28","18",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-05",,,,,,,,"27","18",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-06",,,,,,,,"30","18",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-07",,,,,,,,"28","13",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-08",,,,,,,,"28","14",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-09",,,,,,,,"30","13",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-10",,,,,,,,"34","18",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-11",,,,,,,,"30","13",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-12",,,,,,,,"35","15",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-13",,,,,,,,"35","19",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-14",,,,,,,,"36","24",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-15",,,,,,,,"39","22",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-16",,,,,,,,"39","22",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-17",,,,,,,,"39","32",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-18",,,,,,,,"46","33",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-19",,,,,,,,"41","27",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-20",,,,,,,,"39","26",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-03-21",,,,,,,,"38","28",,,,,,,,,
